ID,Gene Name,Species,KEGG_PATHWAY
ENSMUST00000025833,3'-phosphoadenosine 5'-phosphosulfate synthase 2(Papss2),Mus musculus,"mmu00230:Purine metabolism,mmu00450:Selenocompound metabolism,mmu00920:Sulfur metabolism,mmu01100:Metabolic pathways,"
ENSMUST00000022176,3-hydroxy-3-methylglutaryl-Coenzyme A reductase(Hmgcr),Mus musculus,"mmu00900:Terpenoid backbone biosynthesis,mmu01100:Metabolic pathways,mmu04152:AMPK signaling pathway,mmu04976:Bile secretion,"
ENSMUST00000115839,4-aminobutyrate aminotransferase(Abat),Mus musculus,"mmu00250:Alanine, aspartate and glutamate metabolism,mmu00280:Valine, leucine and isoleucine degradation,mmu00410:beta-Alanine metabolism,mmu00640:Propanoate metabolism,mmu00650:Butanoate metabolism,mmu01100:Metabolic pathways,mmu04727:GABAergic synapse,"
ENSMUST00000027560,5 hydroxytryptamine (serotonin) receptor 4(Htr4),Mus musculus,"mmu04020:Calcium signaling pathway,mmu04024:cAMP signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04726:Serotonergic synapse,"
ENSMUST00000068036,5-hydroxytryptamine (serotonin) receptor 6(Htr6),Mus musculus,"mmu04020:Calcium signaling pathway,mmu04024:cAMP signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04726:Serotonergic synapse,"
ENSMUST00000099505,5-hydroxytryptamine (serotonin) receptor 7(Htr7),Mus musculus,"mmu04014:Ras signaling pathway,mmu04020:Calcium signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04726:Serotonergic synapse,"
ENSMUST00000167797,5-phosphohydroxy-L-lysine phospholyase(Phykpl),Mus musculus,"mmu00310:Lysine degradation,mmu01100:Metabolic pathways,"
ENSMUST00000192949,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(Pfkfb3)",Mus musculus,"mmu00051:Fructose and mannose metabolism,mmu01100:Metabolic pathways,mmu04066:HIF-1 signaling pathway,mmu04152:AMPK signaling pathway,"
ENSMUST00000051873,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(Pfkfb4)",Mus musculus,"mmu00051:Fructose and mannose metabolism,mmu04152:AMPK signaling pathway,"
ENSMUST00000092723,AT rich interactive domain 1B (SWI-like)(Arid1b),Mus musculus,"mmu04714:Thermogenesis,mmu05225:Hepatocellular carcinoma,"
ENSMUST00000171915,ATP binding cassette subfamily G member 8(Abcg8),Mus musculus,"mmu02010:ABC transporters,mmu04975:Fat digestion and absorption,mmu04976:Bile secretion,mmu04979:Cholesterol metabolism,"
"ENSMUST00000013995, ENSMUST00000141135","ATP-binding cassette, sub-family A (ABC1), member 4(Abca4)",Mus musculus,"mmu02010:ABC transporters,"
ENSMUST00000020107,"ATPase, Ca++ transporting, plasma membrane 1(Atp2b1)",Mus musculus,"mmu04020:Calcium signaling pathway,mmu04022:cGMP-PKG signaling pathway,mmu04024:cAMP signaling pathway,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04925:Aldosterone synthesis and secretion,mmu04961:Endocrine and other factor-regulated calcium reabsorption,mmu04970:Salivary secretion,mmu04972:Pancreatic secretion,mmu04978:Mineral absorption,"
ENSMUST00000112264,"ATPase, Ca++ transporting, plasma membrane 4(Atp2b4)",Mus musculus,"mmu04020:Calcium signaling pathway,mmu04022:cGMP-PKG signaling pathway,mmu04024:cAMP signaling pathway,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04925:Aldosterone synthesis and secretion,mmu04961:Endocrine and other factor-regulated calcium reabsorption,mmu04970:Salivary secretion,mmu04972:Pancreatic secretion,mmu04978:Mineral absorption,"
"ENSMUST00000021142, ENSMUST00000108486","ATPase, Ca++ transporting, ubiquitous(Atp2a3)",Mus musculus,"mmu04020:Calcium signaling pathway,mmu04022:cGMP-PKG signaling pathway,mmu04024:cAMP signaling pathway,mmu04260:Cardiac muscle contraction,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04919:Thyroid hormone signaling pathway,mmu04972:Pancreatic secretion,mmu05010:Alzheimer disease,mmu05017:Spinocerebellar ataxia,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05410:Hypertrophic cardiomyopathy,mmu05412:Arrhythmogenic right ventricular cardiomyopathy,mmu05414:Dilated cardiomyopathy,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000040259,"ATPase, H+ transporting, lysosomal V0 subunit A4(Atp6v0a4)",Mus musculus,"mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu04142:Lysosome,mmu04145:Phagosome,mmu04721:Synaptic vesicle cycle,mmu04966:Collecting duct acid secretion,mmu05152:Tuberculosis,mmu05165:Human papillomavirus infection,mmu05323:Rheumatoid arthritis,"
ENSMUST00000019354,"ATPase, H+ transporting, lysosomal V1 subunit E1(Atp6v1e1)",Mus musculus,"mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu04145:Phagosome,mmu04150:mTOR signaling pathway,mmu04721:Synaptic vesicle cycle,mmu04966:Collecting duct acid secretion,mmu05165:Human papillomavirus infection,mmu05323:Rheumatoid arthritis,"
